ScheduleDayName,ScheduleTypeLimits,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
OnDay,Fraction,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OffDay,Fraction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AverageServiceHotWaterWD,Fraction,0.03,0.03,0.03,0.02,0.03,0.04,0.19,0.26,0.32,0.35,0.35,0.44,0.44,0.4,0.37,0.4,0.36,0.31,0.24,0.18,0.16,0.14,0.08,0.05
AverageServiceHotWaterSat,Fraction,0.04,0.03,0.03,0.02,0.02,0.03,0.14,0.14,0.14,0.19,0.17,0.21,0.18,0.17,0.19,0.2,0.21,0.2,0.15,0.17,0.13,0.11,0.06,0.05
AverageServiceHotWaterSun,Fraction,0.04,0.03,0.03,0.02,0.02,0.03,0.14,0.13,0.1,0.09,0.12,0.12,0.11,0.12,0.14,0.15,0.17,0.18,0.13,0.16,0.11,0.1,0.06,0.04
AssemblyOccupancyWD,Fraction,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.1,0
AssemblyOccupancySat,Fraction,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.1,0
AssemblyOccupancySun,Fraction,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.2,0
AssemblyLightsWD,Fraction,0.05,0.05,0.05,0.05,0.05,0.05,0.35,0.35,0.35,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.25,0.05
AssemblyLightsSat,Fraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.05
AssemblyLightsSun,Fraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.3,0.3,0.3,0.3,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.05,0.05
AssemblyReceptacleWD,Fraction,0.05,0.05,0.05,0.05,0.05,0.05,0.4,0.4,0.4,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.05
AssemblyReceptacleSat,Fraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.05
AssemblyReceptacleSun,Fraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.3,0.3,0.3,0.3,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.05,0.05
AssemblyHVACAvailWD,OnOff,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
