ScheduleYearName,EndMonth,EndDay,ScheduleWk,ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
On,12,31,OnWk,OnWk,OnDay,OnDay,OnDay,OnDay,OnDay,OnDay,OnDay,OnDay,OnDay,OnDay
Off,12,31,OffWk,OffWk,OffDay,OffDay,OffDay,OffDay,OffDay,OffDay,OffDay,OffDay,OffDay,OffDay
AverageServiceHotWater,12,31,AverageServiceHotWaterWk,AverageServiceHotWaterWk,AverageServiceHotWaterWD,AverageServiceHotWaterWD,AverageServiceHotWaterWD,AverageServiceHotWaterWD,AverageServiceHotWaterWD,AverageServiceHotWaterSat,AverageServiceHotWaterSun,AverageServiceHotWaterSun,AverageServiceHotWaterWD,AverageServiceHotWaterWD
AssemblyOccupancy,12,31,AssemblyOccupancyWk,AssemblyOccupancyWk,AssemblyOccupancyWD,AssemblyOccupancyWD,AssemblyOccupancyWD,AssemblyOccupancyWD,AssemblyOccupancyWD,AssemblyOccupancySat,AssemblyOccupancySun,AssemblyOccupancySun,OffDay,OnDay
AssemblyLights,12,31,AssemblyLightsWk,AssemblyLightsWk,AssemblyLightsWD,AssemblyLightsWD,AssemblyLightsWD,AssemblyLightsWD,AssemblyLightsWD,AssemblyLightsSat,AssemblyLightsSun,AssemblyLightsSun,OffDay,OnDay
AssemblyReceptacle,12,31,AssemblyReceptacleWk,AssemblyReceptacleWk,AssemblyReceptacleWD,AssemblyReceptacleWD,AssemblyReceptacleWD,AssemblyReceptacleWD,AssemblyReceptacleWD,AssemblyReceptacleSat,AssemblyReceptacleSun,AssemblyReceptacleSun,OffDay,OnDay
AssemblyHVACAvail,12,31,AssemblyHVACAvailWk,AssemblyHVACAvailWk,AssemblyHVACAvailWD,AssemblyHVACAvailWD,AssemblyHVACAvailWD,AssemblyHVACAvailWD,AssemblyHVACAvailWD,AssemblyHVACAvailSat,AssemblyHVACAvailSun,AssemblyHVACAvailSun,OnDay,OnDay
AssemblyServiceHotWater,12,31,AssemblyServiceHotWaterWk,AssemblyServiceHotWaterWk,AssemblyServiceHotWaterWD,AssemblyServiceHotWaterWD,AssemblyServiceHotWaterWD,AssemblyServiceHotWaterWD,AssemblyServiceHotWaterWD,AssemblyServiceHotWaterSat,AssemblyServiceHotWaterSun,AssemblyServiceHotWaterSun,OffDay,OnDay
AssemblyElevator,12,31,AssemblyElevatorWk,AssemblyElevatorWk,AssemblyElevatorWD,AssemblyElevatorWD,AssemblyElevatorWD,AssemblyElevatorWD,AssemblyElevatorWD,AssemblyElevatorSat,AssemblyElevatorSun,AssemblyElevatorSun,OffDay,OnDay
AssemblyRefrigeration,12,31,AssemblyRefrigerationWk,AssemblyRefrigerationWk,AssemblyRefrigerationWD,AssemblyRefrigerationWD,AssemblyRefrigerationWD,AssemblyRefrigerationWD,AssemblyRefrigerationWD,AssemblyRefrigerationSat,AssemblyRefrigerationSun,AssemblyRefrigerationSun,AssemblyRefrigerationSun,AssemblyRefrigerationWD
AssemblyGasEquip,12,31,AssemblyGasEquipWk,AssemblyGasEquipWk,AssemblyGasEquipWD,AssemblyGasEquipWD,AssemblyGasEquipWD,AssemblyGasEquipWD,AssemblyGasEquipWD,AssemblyGasEquipSat,AssemblyGasEquipSun,AssemblyGasEquipSun,OffDay,OnDay
AssemblyHtgSetpt,12,31,AssemblyHtgSetptWk,AssemblyHtgSetptWk,AssemblyHtgSetptWD,AssemblyHtgSetptWD,AssemblyHtgSetptWD,AssemblyHtgSetptWD,AssemblyHtgSetptWD,AssemblyHtgSetptSat,AssemblyHtgSetptSun,AssemblyHtgSetptSun,AssemblyHtgSetptWD,AssemblyHtgSetptWD
AssemblyClgSetpt,12,31,AssemblyClgSetptWk,AssemblyClgSetptWk,AssemblyClgSetptWD,AssemblyClgSetptWD,AssemblyClgSetptWD,AssemblyClgSetptWD,AssemblyClgSetptWD,AssemblyClgSetptSat,AssemblyClgSetptSun,AssemblyClgSetptSun,AssemblyClgSetptWD,AssemblyClgSetptWD
AssemblyInfiltration,12,31,AssemblyInfiltrationWk,AssemblyInfiltrationWk,AssemblyInfiltrationWD,AssemblyInfiltrationWD,AssemblyInfiltrationWD,AssemblyInfiltrationWD,AssemblyInfiltrationWD,AssemblyInfiltrationSat,AssemblyInfiltrationSun,AssemblyInfiltrationSun,AssemblyInfiltrationWD,AssemblyInfiltrationWD
AssemblyEscalator,12,31,AssemblyEscalatorWk,AssemblyEscalatorWk,AssemblyEscalatorWD,AssemblyEscalatorWD,AssemblyEscalatorWD,AssemblyEscalatorWD,AssemblyEscalatorWD,AssemblyEscalatorSat,AssemblyEscalatorSun,AssemblyEscalatorSun,OffDay,OnDay
AssemblyWtrHtrSetpt,12,31,AssemblyWtrHtrSetptWk,AssemblyWtrHtrSetptWk,AssemblyWtrHtrSetptWD,AssemblyWtrHtrSetptWD,AssemblyWtrHtrSetptWD,AssemblyWtrHtrSetptWD,AssemblyWtrHtrSetptWD,AssemblyWtrHtrSetptSat,AssemblyWtrHtrSetptSun,AssemblyWtrHtrSetptSun,AssemblyWtrHtrSetptWD,AssemblyWtrHtrSetptWD
DataOccupancy,12,31,DataOccupancyWk,DataOccupancyWk,DataOccupancyWD,DataOccupancyWD,DataOccupancyWD,DataOccupancyWD,DataOccupancyWD,DataOccupancySat,DataOccupancySun,DataOccupancySun,OffDay,OnDay
DataLights,12,31,DataLightsWk,DataLightsWk,DataLightsWD,DataLightsWD,DataLightsWD,DataLightsWD,DataLightsWD,DataLightsSat,DataLightsSun,DataLightsSun,OffDay,OnDay
DataHVACAvail,12,31,DataHVACAvailWk,DataHVACAvailWk,DataHVACAvailWD,DataHVACAvailWD,DataHVACAvailWD,DataHVACAvailWD,DataHVACAvailWD,DataHVACAvailSat,DataHVACAvailSun,DataHVACAvailSun,OnDay,OnDay
