ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
OnWk,OnDay,OnDay,OnDay,OnDay,OnDay,OnDay,OnDay,OnDay,OnDay,OnDay
OffWk,OffDay,OffDay,OffDay,OffDay,OffDay,OffDay,OffDay,OffDay,OffDay,OffDay
AverageServiceHotWaterWk,AverageServiceHotWaterWD,AverageServiceHotWaterWD,AverageServiceHotWaterWD,AverageServiceHotWaterWD,AverageServiceHotWaterWD,AverageServiceHotWaterSat,AverageServiceHotWaterSun,AverageServiceHotWaterSun,AverageServiceHotWaterWD,AverageServiceHotWaterWD
AssemblyOccupancyWk,AssemblyOccupancyWD,AssemblyOccupancyWD,AssemblyOccupancyWD,AssemblyOccupancyWD,AssemblyOccupancyWD,AssemblyOccupancySat,AssemblyOccupancySun,AssemblyOccupancySun,OffDay,OnDay
AssemblyLightsWk,AssemblyLightsWD,AssemblyLightsWD,AssemblyLightsWD,AssemblyLightsWD,AssemblyLightsWD,AssemblyLightsSat,AssemblyLightsSun,AssemblyLightsSun,OffDay,OnDay
AssemblyReceptacleWk,AssemblyReceptacleWD,AssemblyReceptacleWD,AssemblyReceptacleWD,AssemblyReceptacleWD,AssemblyReceptacleWD,AssemblyReceptacleSat,AssemblyReceptacleSun,AssemblyReceptacleSun,OffDay,OnDay
AssemblyHVACAvailWk,AssemblyHVACAvailWD,AssemblyHVACAvailWD,AssemblyHVACAvailWD,AssemblyHVACAvailWD,AssemblyHVACAvailWD,AssemblyHVACAvailSat,AssemblyHVACAvailSun,AssemblyHVACAvailSun,OnDay,OnDay
AssemblyServiceHotWaterWk,AssemblyServiceHotWaterWD,AssemblyServiceHotWaterWD,AssemblyServiceHotWaterWD,AssemblyServiceHotWaterWD,AssemblyServiceHotWaterWD,AssemblyServiceHotWaterSat,AssemblyServiceHotWaterSun,AssemblyServiceHotWaterSun,OffDay,OnDay
AssemblyElevatorWk,AssemblyElevatorWD,AssemblyElevatorWD,AssemblyElevatorWD,AssemblyElevatorWD,AssemblyElevatorWD,AssemblyElevatorSat,AssemblyElevatorSun,AssemblyElevatorSun,OffDay,OnDay
AssemblyRefrigerationWk,AssemblyRefrigerationWD,AssemblyRefrigerationWD,AssemblyRefrigerationWD,AssemblyRefrigerationWD,AssemblyRefrigerationWD,AssemblyRefrigerationSat,AssemblyRefrigerationSun,AssemblyRefrigerationSun,AssemblyRefrigerationSun,AssemblyRefrigerationWD
AssemblyGasEquipWk,AssemblyGasEquipWD,AssemblyGasEquipWD,AssemblyGasEquipWD,AssemblyGasEquipWD,AssemblyGasEquipWD,AssemblyGasEquipSat,AssemblyGasEquipSun,AssemblyGasEquipSun,OffDay,OnDay
AssemblyHtgSetptWk,AssemblyHtgSetptWD,AssemblyHtgSetptWD,AssemblyHtgSetptWD,AssemblyHtgSetptWD,AssemblyHtgSetptWD,AssemblyHtgSetptSat,AssemblyHtgSetptSun,AssemblyHtgSetptSun,AssemblyHtgSetptWD,AssemblyHtgSetptWD
AssemblyClgSetptWk,AssemblyClgSetptWD,AssemblyClgSetptWD,AssemblyClgSetptWD,AssemblyClgSetptWD,AssemblyClgSetptWD,AssemblyClgSetptSat,AssemblyClgSetptSun,AssemblyClgSetptSun,AssemblyClgSetptWD,AssemblyClgSetptWD
AssemblyInfiltrationWk,AssemblyInfiltrationWD,AssemblyInfiltrationWD,AssemblyInfiltrationWD,AssemblyInfiltrationWD,AssemblyInfiltrationWD,AssemblyInfiltrationSat,AssemblyInfiltrationSun,AssemblyInfiltrationSun,AssemblyInfiltrationWD,AssemblyInfiltrationWD
AssemblyEscalatorWk,AssemblyEscalatorWD,AssemblyEscalatorWD,AssemblyEscalatorWD,AssemblyEscalatorWD,AssemblyEscalatorWD,AssemblyEscalatorSat,AssemblyEscalatorSun,AssemblyEscalatorSun,OffDay,OnDay
AssemblyWtrHtrSetptWk,AssemblyWtrHtrSetptWD,AssemblyWtrHtrSetptWD,AssemblyWtrHtrSetptWD,AssemblyWtrHtrSetptWD,AssemblyWtrHtrSetptWD,AssemblyWtrHtrSetptSat,AssemblyWtrHtrSetptSun,AssemblyWtrHtrSetptSun,AssemblyWtrHtrSetptWD,AssemblyWtrHtrSetptWD
DataOccupancyWk,DataOccupancyWD,DataOccupancyWD,DataOccupancyWD,DataOccupancyWD,DataOccupancyWD,DataOccupancySat,DataOccupancySun,DataOccupancySun,OffDay,OnDay
DataLightsWk,DataLightsWD,DataLightsWD,DataLightsWD,DataLightsWD,DataLightsWD,DataLightsSat,DataLightsSun,DataLightsSun,OffDay,OnDay
DataReceptacleJanMaySepWk,DataReceptacleJanMaySep,DataReceptacleJanMaySep,DataReceptacleJanMaySep,DataReceptacleJanMaySep,DataReceptacleJanMaySep,DataReceptacleJanMaySep,DataReceptacleJanMaySep,DataReceptacleJanMaySep,OffDay,OnDay
DataReceptacleFebJunOctWk,DataReceptacleFebJunOct,DataReceptacleFebJunOct,DataReceptacleFebJunOct,DataReceptacleFebJunOct,DataReceptacleFebJunOct,DataReceptacleFebJunOct,DataReceptacleFebJunOct,DataReceptacleFebJunOct,OffDay,OnDay
DataReceptacleMarJulNovWk,DataReceptacleMarJulNov,DataReceptacleMarJulNov,DataReceptacleMarJulNov,DataReceptacleMarJulNov,DataReceptacleMarJulNov,DataReceptacleMarJulNov,DataReceptacleMarJulNov,DataReceptacleMarJulNov,OffDay,OnDay
DataReceptacleAprAugDecWk,DataReceptacleAprAugDec,DataReceptacleAprAugDec,DataReceptacleAprAugDec,DataReceptacleAprAugDec,DataReceptacleAprAugDec,DataReceptacleAprAugDec,DataReceptacleAprAugDec,DataReceptacleAprAugDec,OffDay,OnDay
DataHVACAvailWk,DataHVACAvailWD,DataHVACAvailWD,DataHVACAvailWD,DataHVACAvailWD,DataHVACAvailWD,DataHVACAvailSat,DataHVACAvailSun,DataHVACAvailSun,OnDay,OnDay
DataServiceHotWaterWk,DataServiceHotWaterWD,DataServiceHotWaterWD,DataServiceHotWaterWD,DataServiceHotWaterWD,DataServiceHotWaterWD,DataServiceHotWaterSat,DataServiceHotWaterSun,DataServiceHotWaterSun,OffDay,OnDay
DataElevatorWk,DataElevatorWD,DataElevatorWD,DataElevatorWD,DataElevatorWD,DataElevatorWD,DataElevatorSat,DataElevatorSun,DataElevatorSun,OffDay,OnDay
DataHtgSetptWk,DataHtgSetptWD,DataHtgSetptWD,DataHtgSetptWD,DataHtgSetptWD,DataHtgSetptWD,DataHtgSetptSat,DataHtgSetptSun,DataHtgSetptSun,DataHtgSetptWD,DataHtgSetptWD
DataClgSetptWk,DataClgSetptWD,DataClgSetptWD,DataClgSetptWD,DataClgSetptWD,DataClgSetptWD,DataClgSetptSat,DataClgSetptSun,DataClgSetptSun,DataClgSetptWD,DataClgSetptWD
DataInfiltrationWk,DataInfiltrationWD,DataInfiltrationWD,DataInfiltrationWD,DataInfiltrationWD,DataInfiltrationWD,DataInfiltrationSat,DataInfiltrationSun,DataInfiltrationSun,DataInfiltrationWD,DataInfiltrationWD
DataWtrHtrSetptWk,DataWtrHtrSetptWD,DataWtrHtrSetptWD,DataWtrHtrSetptWD,DataWtrHtrSetptWD,DataWtrHtrSetptWD,DataWtrHtrSetptSat,DataWtrHtrSetptSun,DataWtrHtrSetptSun,DataWtrHtrSetptWD,DataWtrHtrSetptWD
DataEscalatorWk,DataEscalatorWD,DataEscalatorWD,DataEscalatorWD,DataEscalatorWD,DataEscalatorWD,DataEscalatorSat,DataEscalatorSun,DataEscalatorSun,OffDay,OnDay
DataGasEquipWk,DataGasEquipWD,DataGasEquipWD,DataGasEquipWD,DataGasEquipWD,DataGasEquipWD,DataGasEquipSat,DataGasEquipSun,DataGasEquipSun,OffDay,OnDay
DataRefrigerationWk,DataRefrigerationWD,DataRefrigerationWD,DataRefrigerationWD,DataRefrigerationWD,DataRefrigerationWD,DataRefrigerationSat,DataRefrigerationSun,DataRefrigerationSun,DataRefrigerationSun,DataRefrigerationWD
HealthOccupancyWk,HealthOccupancyWD,HealthOccupancyWD,HealthOccupancyWD,HealthOccupancyWD,HealthOccupancyWD,HealthOccupancySat,HealthOccupancySun,HealthOccupancySun,OffDay,OnDay
HealthLightsWk,HealthLightsWD,HealthLightsWD,HealthLightsWD,HealthLightsWD,HealthLightsWD,HealthLightsSat,HealthLightsSun,HealthLightsSun,OffDay,OnDay
HealthReceptacleWk,HealthReceptacleWD,HealthReceptacleWD,HealthReceptacleWD,HealthReceptacleWD,HealthReceptacleWD,HealthReceptacleSat,HealthReceptacleSun,HealthReceptacleSun,OffDay,OnDay
HealthHVACAvailWk,HealthHVACAvailWD,HealthHVACAvailWD,HealthHVACAvailWD,HealthHVACAvailWD,HealthHVACAvailWD,HealthHVACAvailSat,HealthHVACAvailSun,HealthHVACAvailSun,OnDay,OnDay
HealthServiceHotWaterWk,HealthServiceHotWaterWD,HealthServiceHotWaterWD,HealthServiceHotWaterWD,HealthServiceHotWaterWD,HealthServiceHotWaterWD,HealthServiceHotWaterSat,HealthServiceHotWaterSun,HealthServiceHotWaterSun,OffDay,OnDay
HealthElevatorWk,HealthElevatorWD,HealthElevatorWD,HealthElevatorWD,HealthElevatorWD,HealthElevatorWD,HealthElevatorSat,HealthElevatorSun,HealthElevatorSun,OffDay,OnDay
HealthRefrigerationWk,HealthRefrigerationWD,HealthRefrigerationWD,HealthRefrigerationWD,HealthRefrigerationWD,HealthRefrigerationWD,HealthRefrigerationSat,HealthRefrigerationSun,HealthRefrigerationSun,HealthRefrigerationSun,HealthRefrigerationWD
HealthGasEquipWk,HealthGasEquipWD,HealthGasEquipWD,HealthGasEquipWD,HealthGasEquipWD,HealthGasEquipWD,HealthGasEquipSat,HealthGasEquipSun,HealthGasEquipSun,OffDay,OnDay
