ScheduleYearName,EndMonth,EndDay,ScheduleWk
On,12,31,OnWk
Off,12,31,OffWk
AverageServiceHotWater,12,31,AverageServiceHotWaterWk
AssemblyOccupancy,12,31,AssemblyOccupancyWk
AssemblyLights,12,31,AssemblyLightsWk
AssemblyReceptacle,12,31,AssemblyReceptacleWk
AssemblyHVACAvail,12,31,AssemblyHVACAvailWk
AssemblyServiceHotWater,12,31,AssemblyServiceHotWaterWk
AssemblyElevator,12,31,AssemblyElevatorWk
AssemblyRefrigeration,12,31,AssemblyRefrigerationWk
AssemblyGasEquip,12,31,AssemblyGasEquipWk
AssemblyHtgSetpt,12,31,AssemblyHtgSetptWk
AssemblyClgSetpt,12,31,AssemblyClgSetptWk
AssemblyInfiltration,12,31,AssemblyInfiltrationWk
AssemblyEscalator,12,31,AssemblyEscalatorWk
AssemblyWtrHtrSetpt,12,31,AssemblyWtrHtrSetptWk
DataOccupancy,12,31,DataOccupancyWk
DataLights,12,31,DataLightsWk
DataHVACAvail,12,31,DataHVACAvailWk
DataServiceHotWater,12,31,DataServiceHotWaterWk
DataElevator,12,31,DataElevatorWk
DataHtgSetpt,12,31,DataHtgSetptWk
DataClgSetpt,12,31,DataClgSetptWk
DataInfiltration,12,31,DataInfiltrationWk
DataWtrHtrSetpt,12,31,DataWtrHtrSetptWk
DataEscalator,12,31,DataEscalatorWk
DataGasEquip,12,31,DataGasEquipWk
DataRefrigeration,12,31,DataRefrigerationWk
HealthOccupancy,12,31,HealthOccupancyWk
HealthLights,12,31,HealthLightsWk
HealthReceptacle,12,31,HealthReceptacleWk
HealthHVACAvail,12,31,HealthHVACAvailWk
HealthServiceHotWater,12,31,HealthServiceHotWaterWk
HealthElevator,12,31,HealthElevatorWk
HealthRefrigeration,12,31,HealthRefrigerationWk
HealthGasEquip,12,31,HealthGasEquipWk
HealthHtgSetpt,12,31,HealthHtgSetptWk
HealthClgSetpt,12,31,HealthClgSetptWk
HealthInfiltration,12,31,HealthInfiltrationWk
HealthWtrHtrSetpt,12,31,HealthWtrHtrSetptWk
HealthEscalator,12,31,HealthEscalatorWk
LabOccupancy,12,31,LabOccupancyWk
LabLights,12,31,LabLightsWk
LabReceptacle,12,31,LabReceptacleWk
LabHVACAvail,12,31,LabHVACAvailWk
LabServiceHotWater,12,31,LabServiceHotWaterWk
LabElevator,12,31,LabElevatorWk
LabExhaustHoodCAV,12,31,LabExhaustHoodCAVWk
LabExhaustHoodVAV,12,31,LabExhaustHoodVAVWk
LabProcessEquipmentTypicalUse,12,31,LabProcessEquipmentTypicalUseWk
LabProcessEquipmentHighUse,12,31,LabProcessEquipmentHighUseWk
LabRefrigeration,12,31,LabRefrigerationWk
LabGasEquip,12,31,LabGasEquipWk
LabHtgSetpt,12,31,LabHtgSetptWk
LabClgSetpt,12,31,LabClgSetptWk
LabInfiltration,12,31,LabInfiltrationWk
LabWtrHtrSetpt,12,31,LabWtrHtrSetptWk
ManufacturingOccupancy,12,31,ManufacturingOccupancyWk
ManufacturingLights,12,31,ManufacturingLightsWk
ManufacturingReceptacle,12,31,ManufacturingReceptacleWk
ManufacturingHVACAvail,12,31,ManufacturingHVACAvailWk
ManufacturingServiceHotWater,12,31,ManufacturingServiceHotWaterWk
ManufacturingElevator,12,31,ManufacturingElevatorWk
ManufacturingRefrigeration,12,31,ManufacturingRefrigerationWk
ManufacturingGasEquip,12,31,ManufacturingGasEquipWk
ManufacturingHtgSetpt,12,31,ManufacturingHtgSetptWk
ManufacturingClgSetpt,12,31,ManufacturingClgSetptWk
ManufacturingInfiltration,12,31,ManufacturingInfiltrationWk
ManufacturingWtrHtrSetpt,12,31,ManufacturingWtrHtrSetptWk
ManufacturingEscalator,12,31,ManufacturingEscalatorWk
OfficeOccupancy,12,31,OfficeOccupancyWk
OfficeLights,12,31,OfficeLightsWk
OfficeReceptacle,12,31,OfficeReceptacleWk
OfficeHVACAvail,12,31,OfficeHVACAvailWk
OfficeServiceHotWater,12,31,OfficeServiceHotWaterWk
OfficeElevator,12,31,OfficeElevatorWk
OfficeRefrigeration,12,31,OfficeRefrigerationWk
OfficeHtgSetpt,12,31,OfficeHtgSetptWk
OfficeClgSetpt,12,31,OfficeClgSetptWk
OfficeInfiltration,12,31,OfficeInfiltrationWk
OfficeEscalator,12,31,OfficeEscalatorWk
OfficeWtrHtrSetpt,12,31,OfficeWtrHtrSetptWk
OfficeGasEquip,12,31,OfficeGasEquipWk
ParkingOccupancy,12,31,ParkingOccupancyWk
ParkingLights,12,31,ParkingLightsWk
ParkingReceptacle,12,31,ParkingReceptacleWk
ParkingHVACAvail,12,31,ParkingHVACAvailWk
ParkingServiceHotWater,12,31,ParkingServiceHotWaterWk
ParkingElevator,12,31,ParkingElevatorWk
ParkingHtgSetpt,12,31,ParkingHtgSetptWk
ParkingClgSetpt,12,31,ParkingClgSetptWk
ParkingInfiltration,12,31,ParkingInfiltrationWk
ParkingEscalator,12,31,ParkingEscalatorWk
ParkingGasEquip,12,31,ParkingGasEquipWk
ParkingRefrigeration,12,31,ParkingRefrigerationWk
ParkingWtrHtrSetpt,12,31,ParkingWtrHtrSetptWk
ResidentialCommonOccupancy,12,31,ResidentialCommonOccupancyWk
ResidentialCommonLights,12,31,ResidentialCommonLightsWk
ResidentialCommonReceptacle,12,31,ResidentialCommonReceptacleWk
ResidentialCommonHVACAvail,12,31,ResidentialCommonHVACAvailWk
ResidentialCommonServiceHotWater,12,31,ResidentialCommonServiceHotWaterWk
ResidentialCommonGasEquip,12,31,ResidentialCommonGasEquipWk
ResidentialCommonHtgSetpt,12,31,ResidentialCommonHtgSetptWk
ResidentialCommonClgSetpt,12,31,ResidentialCommonClgSetptWk
ResidentialCommonInfiltration,12,31,ResidentialCommonInfiltrationWk
ResidentialCommonWtrHtrSetpt,12,31,ResidentialCommonWtrHtrSetptWk
ResidentialCommonElevator,12,31,ResidentialCommonElevatorWk
ResidentialCommonEscalator,12,31,ResidentialCommonEscalatorWk
ResidentialCommonRefrigeration,12,31,ResidentialCommonRefrigerationWk
ResidentialLivingOccupancy,12,31,ResidentialLivingOccupancyWk
ResidentialLivingLights,12,31,ResidentialLivingLightsWk
ResidentialLivingReceptacle,12,31,ResidentialLivingReceptacleWk
ResidentialLivingHVACAvail,12,31,ResidentialLivingHVACAvailWk
ResidentialLivingServiceHotWater,12,31,ResidentialLivingServiceHotWaterWk
ResidentialLivingGasEquip,12,31,ResidentialLivingGasEquipWk
ResidentialLivingHtgSetpt,12,31,ResidentialLivingHtgSetptWk
ResidentialLivingClgSetpt,12,31,ResidentialLivingClgSetptWk
ResidentialLivingInfiltration,12,31,ResidentialLivingInfiltrationWk
ResidentialLivingWtrHtrSetpt,12,31,ResidentialLivingWtrHtrSetptWk
ResidentialLivingElevator,12,31,ResidentialLivingElevatorWk
ResidentialLivingEscalator,12,31,ResidentialLivingEscalatorWk
ResidentialLivingRefrigeration,12,31,ResidentialLivingRefrigerationWk
RestaurantOccupancy,12,31,RestaurantOccupancyWk
RestaurantLights,12,31,RestaurantLightsWk
RestaurantReceptacle,12,31,RestaurantReceptacleWk
RestaurantHVACAvail,12,31,RestaurantHVACAvailWk
RestaurantServiceHotWater,12,31,RestaurantServiceHotWaterWk
RestaurantElevator,12,31,RestaurantElevatorWk
RestaurantExhaustHoodEqualOrLessThan5000cfm,12,31,RestaurantExhaustHoodEqualOrLessThan5000cfmWk
RestaurantExhaustHoodGreaterThan5000cfm,12,31,RestaurantExhaustHoodGreaterThan5000cfmWk
RestaurantRefrigeration,12,31,RestaurantRefrigerationWk
RestaurantGasEquip,12,31,RestaurantGasEquipWk
RestaurantHtgSetpt,12,31,RestaurantHtgSetptWk
RestaurantClgSetpt,12,31,RestaurantClgSetptWk
RestaurantInfiltration,12,31,RestaurantInfiltrationWk
RestaurantWtrHtrSetpt,12,31,RestaurantWtrHtrSetptWk
RestaurantEscalator,12,31,RestaurantEscalatorWk
RetailOccupancy,12,31,RetailOccupancyWk
RetailLights,12,31,RetailLightsWk
RetailReceptacle,12,31,RetailReceptacleWk
RetailHVACAvail,12,31,RetailHVACAvailWk
RetailServiceHotWater,12,31,RetailServiceHotWaterWk
RetailElevator,12,31,RetailElevatorWk
RetailRefrigeration,12,31,RetailRefrigerationWk
RetailGasEquip,12,31,RetailGasEquipWk
RetailHtgSetpt,12,31,RetailHtgSetptWk
RetailClgSetpt,12,31,RetailClgSetptWk
RetailInfiltration,12,31,RetailInfiltrationWk
RetailEscalator,12,31,RetailEscalatorWk
RetailWtrHtrSetpt,12,31,RetailWtrHtrSetptWk
SchoolOccupancy,12,31,SchoolOccupancyWk
SchoolLights,12,31,SchoolLightsWk
SchoolReceptacle,12,31,SchoolReceptacleWk
SchoolHVACAvail,12,31,SchoolHVACAvailWk
SchoolServiceHotWater,12,31,SchoolServiceHotWaterWk
SchoolElevator,12,31,SchoolElevatorWk
SchoolRefrigeration,12,31,SchoolRefrigerationWk
SchoolGasEquip,12,31,SchoolGasEquipWk
SchoolHtgSetpt,12,31,SchoolHtgSetptWk
SchoolClgSetpt,12,31,SchoolClgSetptWk
SchoolInfiltration,12,31,SchoolInfiltrationWk
SchoolWtrHtrSetpt,12,31,SchoolWtrHtrSetptWk
SchoolEscalator,12,31,SchoolEscalatorWk
WarehouseOccupancy,12,31,WarehouseOccupancyWk
WarehouseLights,12,31,WarehouseLightsWk
WarehouseReceptacle,12,31,WarehouseReceptacleWk
WarehouseHVACAvail,12,31,WarehouseHVACAvailWk
WarehouseServiceHotWater,12,31,WarehouseServiceHotWaterWk
WarehouseElevator,12,31,WarehouseElevatorWk
WarehouseRefrigeration,12,31,WarehouseRefrigerationWk
WarehouseHtgSetpt,12,31,WarehouseHtgSetptWk
WarehouseClgSetpt,12,31,WarehouseClgSetptWk
WarehouseInfiltration,12,31,WarehouseInfiltrationWk
WarehouseEscalator,12,31,WarehouseEscalatorWk
WarehouseWtrHtrSetpt,12,31,WarehouseWtrHtrSetptWk
WarehouseGasEquip,12,31,WarehouseGasEquipWk
