name,_id,run_start_time,run_end_time,status,status_message,openstudio_model_articulation_testing_scenario_builder.climate_zone,openstudio_model_articulation_testing_scenario_builder.scenario,openstudio_model_articulation_testing_scenario_builder.template,envelope_and_internal_load_breakdown.electric_equipment_total_heating_energy_annual,envelope_and_internal_load_breakdown.ext_roof_heat_gain,envelope_and_internal_load_breakdown.ext_roof_heat_loss,envelope_and_internal_load_breakdown.ext_wall_heat_gain,envelope_and_internal_load_breakdown.ext_wall_heat_loss,envelope_and_internal_load_breakdown.gas_equipment_total_heating_energy_annual,envelope_and_internal_load_breakdown.ground_heat_gain,envelope_and_internal_load_breakdown.ground_heat_loss,envelope_and_internal_load_breakdown.surface_window_heat_gain_energy_annual,envelope_and_internal_load_breakdown.surface_window_heat_loss_energy_annual,envelope_and_internal_load_breakdown.zone_infiltration_sensible_heat_gain_energy_annual,envelope_and_internal_load_breakdown.zone_infiltration_sensible_heat_loss_energy_annual,envelope_and_internal_load_breakdown.zone_lights_total_heating_energy_annual,envelope_and_internal_load_breakdown.zone_people_sensible_heating_energy_annual,openstudio_model_articulation_testing_scenario_builder.building_type,openstudio_results.annual_peak_electric_demand,openstudio_results.electricity_ip,openstudio_results.end_use_cooling,openstudio_results.end_use_exterior_equipment,openstudio_results.end_use_exterior_lighting,openstudio_results.end_use_fans,openstudio_results.end_use_generators,openstudio_results.end_use_heat_recovery,openstudio_results.end_use_heat_rejection,openstudio_results.end_use_heating,openstudio_results.end_use_humidification,openstudio_results.end_use_interior_equipment,openstudio_results.end_use_interior_lighting,openstudio_results.end_use_pumps,openstudio_results.end_use_refrigeration,openstudio_results.end_use_water_systems,openstudio_results.natural_gas_ip,openstudio_results.total_site_eui,openstudio_results.unmet_hours_during_occupied_cooling,openstudio_results.unmet_hours_during_occupied_heating
DOE Autogenerated 420,007e2fb5-0de2-4ae2-8b15-3e8ebf2fb26d,2019-08-13T15:34:17.973Z,2019-08-13T15:40:00.608Z,completed,completed normal,ASHRAE 169-2006-8A,s5 Prototype - hvac,90.1-2010,48441.792012693084,36429.4,119595.1,50100.9,95793.8,0.0,38197.1,44378.5,35375.01839626633,64245.835860161045,12.992932618521124,14580.187229186973,48369.94262440298,20654.827976765413,SmallOffice,18.91573,51176.62335548889,3459.532489143608,0.0,19468.163651235536,19780.943300938932,0.0,0.0,0.0,135168.19952788216,0.0,48442.93301921365,48367.10764958858,9.478171203133172,0.0,36832.17329537551,136.9015887706872,56.61841113434489,1.5,78.0
DOE Autogenerated 76,00b26069-8762-49aa-a9f2-0d65714cc1ab,2019-08-13T14:50:40.902Z,2019-08-13T14:55:52.527Z,completed,completed normal,ASHRAE 169-2006-4A,s5 Prototype - hvac,DOE Ref Pre-1980,84237.9610667569,60305.7,93364.9,78130.5,100910.7,0.0,18680.6,85571.9,66779.19782531323,42022.346843000596,5263.5560678900365,96760.08842144386,99875.62056006628,17188.39813427064,SmallOffice,32.71209,96986.8657891361,38111.72640779849,0.0,40737.17983106638,67967.96569766798,0.0,0.0,0.0,115036.56389242731,0.0,84241.98565344764,99871.48996741425,9.478171203133172,0.0,25894.36372695983,140.92907580782173,85.7605190590022,219.83,390.0
DOE Autogenerated 143,015a32e0-7bc9-4991-9052-db0f26851f13,2019-08-13T15:00:49.727Z,2019-08-13T15:06:20.819Z,completed,completed normal,ASHRAE 169-2006-2B,s4 Prototype - setpoints,DOE Ref 1980-2004,84237.9610667569,101141.4,82025.0,121243.6,61568.4,0.0,9892.3,154771.9,65450.91827970229,21950.357526788433,33562.81679707844,34451.10303233571,99875.62056006628,16504.102026894965,SmallOffice,35.5771,114493.63957736111,92582.77631220482,0.0,40775.09251587891,73190.43803059436,0.0,0.0,0.0,7914.272954616199,0.0,84241.98565344764,99871.48996741425,9.478171203133172,0.0,24245.16193761466,32.1604460945737,76.84923902742143,495.67,122.17
DOE Autogenerated 329,02171ca5-9289-4b40-92f0-7fa68662deb7,2019-08-13T15:22:53.613Z,2019-08-13T15:28:21.828Z,completed,completed normal,ASHRAE 169-2006-4B,s5 Prototype - hvac,90.1-2007,50981.18200373395,94581.6,107457.9,90889.0,105198.6,0.0,3755.5,99058.6,64918.68068156708,29418.564129432467,1145.915262994993,16174.653101151709,68456.7196866106,19547.856732280565,SmallOffice,19.37648,62164.106724652775,13752.826415746233,0.0,29666.67586580683,23230.997618879406,0.0,0.0,0.0,7734.1877017566685,0.0,50983.08290165334,68460.83060023091,9.478171203133172,0.0,35780.09629182772,17.488143888052054,41.72952783394805,8.67,11.67
DOE Autogenerated 101,025c6c2f-232f-4cac-8343-2f1b4a805307,2019-08-13T14:55:41.831Z,2019-08-13T15:01:00.959Z,completed,completed normal,ASHRAE 169-2006-2B,s1 Prototype - const,DOE Ref 1980-2004,84237.9610667569,101141.4,82025.0,121243.6,61568.4,0.0,9892.2,154772.7,65450.889678218366,21950.34483242113,33562.88840982409,34451.06626802341,99875.62056006628,16504.09655195011,SmallOffice,35.57847,114622.94750000001,92582.77631220482,0.0,41220.56656242617,73190.43803059436,0.0,0.0,0.0,7914.272954616199,0.0,84241.98565344764,99871.48996741425,0.0,0.0,12378.491591291924,20.301847050626908,74.7734430796049,498.0,122.17
DOE Autogenerated 53,03305407-2997-4bdb-98ac-ff73ef088b34,2019-08-13T14:50:25.786Z,2019-08-13T14:55:37.215Z,completed,completed normal,ASHRAE 169-2006-6A,s3 Prototype - swh exhaust,DOE Ref Pre-1980,84237.9610667569,42156.5,91117.9,65159.3,106104.1,0.0,28263.9,55328.3,38182.84730016207,63191.81364211468,1429.3622337248582,142460.49444266522,99875.62056006628,17682.191772057922,SmallOffice,29.93807,87781.91537311111,15800.111395623,0.0,40718.223488660115,58887.8776850664,0.0,0.0,0.0,178284.40033093496,0.0,84241.98565344764,99871.48996741425,9.478171203133172,0.0,26662.095594413615,204.94661636067877,91.68816541289154,162.83,486.0
DOE Autogenerated 82,0355d323-1674-4a76-8777-47932f9028ab,2019-08-13T14:50:43.861Z,2019-08-13T14:55:58.069Z,completed,completed normal,ASHRAE 169-2006-6B,s5 Prototype - hvac,DOE Ref Pre-1980,84237.9610667569,52509.8,105465.1,81713.6,122379.8,0.0,27922.3,56629.8,46699.47381297581,65190.633128262714,1867.644876523063,132727.53699603866,99875.62056006628,17646.8071911907,SmallOffice,27.70719,90717.17155922501,16359.323496607854,0.0,40708.745317456975,68356.57071699644,0.0,0.0,0.0,181298.4587735313,0.0,84241.98565344764,99871.48996741425,9.478171203133172,0.0,26728.442792835547,208.02538441527383,94.06714815474601,149.0,500.0
DOE Autogenerated 361,04c770d5-7fc3-4079-8ca3-fb2ba6ff5c96,2019-08-13T15:28:07.902Z,2019-08-13T15:33:43.267Z,completed,completed normal,ASHRAE 169-2006-6A,s1 Prototype - const,90.1-2010,48441.792012693084,56703.4,94434.1,58046.3,84847.7,0.0,15871.2,57914.3,38825.18242127976,39044.8715316088,190.43478273580783,18651.615517049762,47304.60724424664,20307.218658041675,SmallOffice,18.728180000000002,51021.67018387777,6928.543149490349,0.0,11335.892758947273,16311.93264059219,0.0,0.0,0.0,39884.14442278439,0.0,48442.93301921365,47305.55247483766,0.0,0.0,24102.98936956766,20.20347800117585,35.31264824422478,3.83,34.0
DOE Autogenerated 380,04cc8e9d-6387-4d46-a6d5-a12ce49ce76e,2019-08-13T15:32:36.483Z,2019-08-13T15:38:10.851Z,completed,completed normal,ASHRAE 169-2006-2A,s3 Prototype - swh exhaust,90.1-2010,48441.792012693084,66130.1,65648.7,80456.5,73972.6,0.0,2972.5,109146.2,49098.34973447537,19256.770139463497,1496.519855287137,4299.703041931619,49180.26088878725,19108.21771188167,SmallOffice,17.394360000000002,52298.46862950277,22681.26368909768,0.0,19126.949487922742,18397.130305281487,0.0,0.0,0.0,2407.455485595826,0.0,48442.93301921365,49182.23037305803,9.478171203133172,0.0,34225.676214513885,16.0187727896403,35.34537863676296,16.5,6.83
DOE Autogenerated 319,052136e6-7dcc-466d-b268-21783418b40a,2019-08-13T15:22:36.458Z,2019-08-13T15:28:09.297Z,completed,completed normal,ASHRAE 169-2006-6A,s4 Prototype - setpoints,90.1-2007,50981.18200373395,56529.7,94811.3,57872.7,84985.5,0.0,16146.4,63157.4,38775.96764626375,39038.90953716785,334.3291464925983,33367.438929167256,68456.7196866106,20282.952276083655,SmallOffice,22.28698,64037.10509331389,8046.967351460064,0.0,29761.457577838162,18738.344468594285,0.0,0.0,0.0,51798.20562512279,0.0,50983.08290165334,68460.83060023091,9.478171203133172,0.0,36528.87181687525,45.82720758827386,48.041325637101366,6.67,44.0
