Description,Scenario,Building Type,Climate Zone,Template,EUI,Unmet Hours Occupied Cooling,Unmet Hours Occupied Heating,Exterior Equipment,Interior Equipment,Exterior Lighting,Interior Lighting,Refrigeration,Water Systems,Heat Recovery,Humidification,Heat Rejection,Fans,Pumps,Cooling,Heating,Heat Gain Electric Equipment,Heat Gain Gas Equipment,Heat Gain Lights,Heat Gain People,Heat Gain Infiltration,Heat Gain Ground,Heat Gain Walls,Heat Gain Windows,Heat Gain Roof,Heat Loss Infiltration,Heat Loss Ground,Heat Loss Window,Heat Loss Wall,Heat Loss Roof,Sum of Absolute End Use Errors Divided by EUI of Previous Scenario,Sum of End Use Errors Divided by EUI of Previous Scenario,Largest Contributor to Absolute End Use Error,EUI Error Versus Prototype as Percentage
FullServiceRestaurant ASHRAE 169-2006-1A 90.1-2004,s0 Prototype,FullServiceRestaurant,ASHRAE 169-2006-1A,90.1-2004,473.8798938,140.5,0,0,881915.3959,55106.08738,176995.369,51466.46963,650212.0227,0,0,0,386955.8175,1137.380544,388908.3208,14577.42731,381250.8598,133575.52,176998.6929,202882.1398,22260.52202,71.1,54948.8,61450.44746,227561.8,51132.39307,183197.9,9812.530983,46951.3,181915.6,,,,
FullServiceRestaurant ASHRAE 169-2006-1A 90.1-2004,s1 Prototype - const,FullServiceRestaurant,ASHRAE 169-2006-1A,90.1-2004,460.3895402,264.67,0,0,881915.3959,55106.08738,176995.369,0,650145.6755,0,0,0,368245.9076,1137.380544,388159.5453,11345.37093,381250.8598,133575.52,176998.6929,202401.0812,3796.066016,63.7,55219.2,61434.02739,74598.5,3232.377762,185361.3,10604.02899,47536.1,64204.5,2.846787500376515,2.846787500376515,Refrigeration,-2.8467875038592716
FullServiceRestaurant ASHRAE 169-2006-1A 90.1-2004,s2 Prototype - loads,FullServiceRestaurant,ASHRAE 169-2006-1A,90.1-2004,450.8992634,264.33,0,0,841036.0435,59816.73846,176995.369,0,650136.1973,0,0,0,364786.3751,1137.380544,376103.3115,10833.54969,340373.1911,133575.52,176998.6929,202423.9717,3797.320002,64.3,55333.6,61454.53595,74644.7,3250.509896,183683.9,10590.26867,47351.2,64115.8,2.43291886884535,2.0609838720287432,Interior Equipment,-4.849463060295811
FullServiceRestaurant ASHRAE 169-2006-1A 90.1-2004,s3 Prototype - swh exhaust,FullServiceRestaurant,ASHRAE 169-2006-1A,90.1-2004,405.4944301,264.5,0,0,841036.0435,59816.73846,176995.369,0,549155.7613,0,0,0,241551.1931,0,353023.9646,9440.258518,340373.1911,133575.52,176998.6929,202250.3421,3801.033663,64.4,55171,61415.36442,74557.5,3587.420871,187320.9,10654.86088,47858.4,64306.4,10.070183350072183,10.070183350072183,Fans,-14.430969660186078
FullServiceRestaurant ASHRAE 169-2006-1A 90.1-2004,s4 Prototype - setpoints,FullServiceRestaurant,ASHRAE 169-2006-1A,90.1-2004,405.4944301,264.5,0,0,841036.0435,59816.73846,176995.369,0,549155.7613,0,0,0,241551.1931,0,353023.9646,9440.258518,340373.1911,133575.52,176998.6929,202250.3421,3801.033663,64.4,55171,61415.36442,74557.5,3587.420871,187320.9,10654.86088,47858.4,64306.4,0.0,0.0,NA,-14.430969660186078
FullServiceRestaurant ASHRAE 169-2006-1A 90.1-2004,s5 Prototype - hvac,FullServiceRestaurant,ASHRAE 169-2006-1A,90.1-2004,397.261714,266.17,0,0,841036.0435,59816.73846,176995.369,0,537592.3925,52404.80858,0,0,183933.3904,0,331375.8216,2568.584396,340373.1911,133575.52,176998.6929,201815.6801,3821.262524,64.3,55115.5,61311.66441,74474.6,3809.23015,190568.4,11114.81662,48177.6,64477.7,6.728126255383099,2.0302907941591464,Fans,-16.168269808960613
FullServiceRestaurant ASHRAE 169-2006-1A 90.1-2007,s0 Prototype,FullServiceRestaurant,ASHRAE 169-2006-1A,90.1-2007,458.4980311,0,0,0,881915.3959,55106.08738,176995.369,51532.81683,650136.1973,0,0,0,361535.3624,1137.380544,340835.0365,3450.054318,381250.8598,133575.52,176998.6929,202051.3866,22411.75122,70.7,54824.3,61329.8443,227477.5,52045.65325,186898.8,10183.7069,47335,182060.2,,,,
FullServiceRestaurant ASHRAE 169-2006-1A 90.1-2007,s1 Prototype - const,FullServiceRestaurant,ASHRAE 169-2006-1A,90.1-2007,445.6312898,0.17,0,0,881915.3959,55106.08738,176995.369,0,650069.8501,0,0,0,344313.5253,1137.380544,339479.658,2833.97319,381250.8598,133575.52,176998.6929,201807.889,3823.735196,63.7,55095.1,61327.00928,74506.3,3536.054702,189127.6,10982.13534,47925.5,64402.7,2.8062805997205698,2.8062805997205698,Refrigeration,-2.8062806004053975
FullServiceRestaurant ASHRAE 169-2006-1A 90.1-2007,s2 Prototype - loads,FullServiceRestaurant,ASHRAE 169-2006-1A,90.1-2007,435.762022,0.17,0,0,841036.0435,59816.73846,176995.369,0,650041.4156,0,0,0,340484.3441,1137.380544,325783.7006,2265.282918,340373.1911,133575.52,176998.6929,201821.0329,3823.736421,64.3,55202.2,61346.17852,74549.6,3564.145981,187574.3,10971.42539,47756.7,64320.1,2.598537212527931,2.2142846115319696,Interior Equipment,-4.958801904874743
FullServiceRestaurant ASHRAE 169-2006-1A 90.1-2007,s3 Prototype - swh exhaust,FullServiceRestaurant,ASHRAE 169-2006-1A,90.1-2007,391.1789099,1.33,0,0,841036.0435,59816.73846,176995.369,0,549060.9796,0,0,0,217571.42,0,306438.7532,1336.42214,340373.1911,133575.52,176998.6929,201661.938,3823.83832,64.3,55039,61303.93514,74453,3922.930024,191508.2,11039.72118,48327.2,64529,10.231423643789032,10.231423643789032,Fans,-14.68253223214332
